HE InChI=1S/He
I23C7Q15-2 InChI=1S/C7H15O4/c1-6(3-4-10-8)7(2)5-11-9/h6,8-9H,3-5H2,1-2H3
I23C7Q15-7 InChI=1S/C7H15O4/c1-6(3-4-10-8)7(2)5-11-9/h6-9H,1,3-5H2,2H3
I23C7Q15-6 InChI=1S/C7H15O4/c1-6(3-4-10-8)7(2)5-11-9/h6-9H,2-5H2,1H3
I23C7Q23-7 InChI=1S/C7H15O4/c1-5-7(4,11-9)6(2,3)10-8/h8-9H,4-5H2,1-3H3
I23C7Q23-4 InChI=1S/C7H15O4/c1-5-7(4,11-9)6(2,3)10-8/h5,8-9H,1-4H3
I23C7Q23-1 InChI=1S/C7H15O4/c1-5-7(4,11-9)6(2,3)10-8/h8-9H,2,5H2,1,3-4H3
I23C7Q23-5 InChI=1S/C7H15O4/c1-5-7(4,11-9)6(2,3)10-8/h8-9H,1,5H2,2-4H3
I23C7Q27-3 InChI=1S/C7H15O4/c1-4-6(5-10-8)7(2,3)11-9/h8-9H,4-5H2,1-3H3
I23C7Q27-4 InChI=1S/C7H15O4/c1-4-6(5-10-8)7(2,3)11-9/h4,6,8-9H,5H2,1-3H3
I23C7Q27-1 InChI=1S/C7H15O4/c1-4-6(5-10-8)7(2,3)11-9/h6,8-9H,2,4-5H2,1,3H3
I23C7Q27-5 InChI=1S/C7H15O4/c1-4-6(5-10-8)7(2,3)11-9/h6,8-9H,1,4-5H2,2-3H3
I23C7Q24-3 InChI=1S/C7H15O4/c1-5(6(2)10-8)7(3,4)11-9/h6,8-9H,1-4H3
I23C7Q24-5 InChI=1S/C7H15O4/c1-5(6(2)10-8)7(3,4)11-9/h5-6,8-9H,2H2,1,3-4H3
I23C7Q24-7 InChI=1S/C7H15O4/c1-5(6(2)10-8)7(3,4)11-9/h5-6,8-9H,1H2,2-4H3
I23C7Q24-1 InChI=1S/C7H15O4/c1-5(6(2)10-8)7(3,4)11-9/h5-6,8-9H,3H2,1-2,4H3
I23C7Q25-4 InChI=1S/C7H15O4/c1-6(4-5-10-8)7(2,3)11-9/h4,6,8-9H,5H2,1-3H3
I23C7Q25-3 InChI=1S/C7H15O4/c1-6(4-5-10-8)7(2,3)11-9/h8-9H,4-5H2,1-3H3
I23C7Q25-7 InChI=1S/C7H15O4/c1-6(4-5-10-8)7(2,3)11-9/h6,8-9H,1,4-5H2,2-3H3
I23C7Q25-1 InChI=1S/C7H15O4/c1-6(4-5-10-8)7(2,3)11-9/h6,8-9H,2,4-5H2,1,3H3
I23C7Q37-2 InChI=1S/C7H15O4/c1-4-7(11-9,5-10-8)6(2)3/h8-9H,4-5H2,1-3H3
I23C7Q37-4 InChI=1S/C7H15O4/c1-4-7(11-9,5-10-8)6(2)3/h4,6,8-9H,5H2,1-3H3
I23C7Q37-1 InChI=1S/C7H15O4/c1-4-7(11-9,5-10-8)6(2)3/h6,8-9H,2,4-5H2,1,3H3
I23C7Q37-5 InChI=1S/C7H15O4/c1-4-7(11-9,5-10-8)6(2)3/h6,8-9H,1,4-5H2,2-3H3
I23C7Q34-5 InChI=1S/C7H15O4/c1-5(2)7(4,11-9)6(3)10-8/h5-6,8-9H,3H2,1-2,4H3
I23C7Q34-2 InChI=1S/C7H15O4/c1-5(2)7(4,11-9)6(3)10-8/h6,8-9H,1-4H3
I23C7Q34-7 InChI=1S/C7H15O4/c1-5(2)7(4,11-9)6(3)10-8/h5-6,8-9H,4H2,1-3H3
I23C7Q34-1 InChI=1S/C7H15O4/c1-5(2)7(4,11-9)6(3)10-8/h5-6,8-9H,1H2,2-4H3
I23C7Q35-4 InChI=1S/C7H15O4/c1-6(2)7(3,11-9)4-5-10-8/h4,6,8-9H,5H2,1-3H3
I23C7Q35-2 InChI=1S/C7H15O4/c1-6(2)7(3,11-9)4-5-10-8/h8-9H,4-5H2,1-3H3
I23C7Q35-7 InChI=1S/C7H15O4/c1-6(2)7(3,11-9)4-5-10-8/h6,8-9H,3-5H2,1-2H3
I23C7Q35-1 InChI=1S/C7H15O4/c1-6(2)7(3,11-9)4-5-10-8/h6,8-9H,1,4-5H2,2-3H3
I23C7Q47-3 InChI=1S/C7H15O4/c1-5(2)7(4-10-8)6(3)11-9/h5-6,8-9H,4H2,1-3H3
I23C7Q47-5 InChI=1S/C7H15O4/c1-5(2)7(4-10-8)6(3)11-9/h5-9H,3-4H2,1-2H3
I23C7Q47-2 InChI=1S/C7H15O4/c1-5(2)7(4-10-8)6(3)11-9/h6-9H,4H2,1-3H3
I23C7Q47-1 InChI=1S/C7H15O4/c1-5(2)7(4-10-8)6(3)11-9/h5-9H,1,4H2,2-3H3
I23C7Q57-4 InChI=1S/C7H15O4/c1-6(2)7(5-11-9)3-4-10-8/h3,6-9H,4-5H2,1-2H3
I23C7Q57-3 InChI=1S/C7H15O4/c1-6(2)7(5-11-9)3-4-10-8/h6,8-9H,3-5H2,1-2H3
I23C7Q57-2 InChI=1S/C7H15O4/c1-6(2)7(5-11-9)3-4-10-8/h7-9H,3-5H2,1-2H3
I23C7Q57-1 InChI=1S/C7H15O4/c1-6(2)7(5-11-9)3-4-10-8/h6-9H,1,3-5H2,2H3
I23C7Q45-3 InChI=1S/C7H15O4/c1-5(2)6(3)7(11-9)4-10-8/h5,7-9H,4H2,1-3H3
I23C7Q45-2 InChI=1S/C7H15O4/c1-5(2)6(3)7(11-9)4-10-8/h6-9H,4H2,1-3H3
I23C7Q45-7 InChI=1S/C7H15O4/c1-5(2)6(3)7(11-9)4-10-8/h5-9H,3-4H2,1-2H3
I23C7Q45-1 InChI=1S/C7H15O4/c1-5(2)6(3)7(11-9)4-10-8/h5-9H,1,4H2,2-3H3
I23C7D1 InChI=1S/C7H14/c1-5-7(4)6(2)3/h7H,2,5H2,1,3-4H3
C7-23-D1 InChI=1S/C7H14/c1-5-7(4)6(2)3/h7H,2,5H2,1,3-4H3
I23C7D2 InChI=1S/C7H14/c1-5-7(4)6(2)3/h5H2,1-4H3
C7-23-D2 InChI=1S/C7H14/c1-5-7(4)6(2)3/h5H2,1-4H3
I23C7D7 InChI=1S/C7H14/c1-5-7(4)6(2)3/h6H,4-5H2,1-3H3
I23C7D3 InChI=1S/C7H14/c1-5-7(4)6(2)3/h5-6H,1-4H3
I23C7D4 InChI=1S/C7H14/c1-5-7(4)6(2)3/h5-7H,1H2,2-4H3
C7H1423-C InChI=1S/C7H14/c1-5-7(4)6(2)3/h5-6H,1-4H3
C7H1423-D InChI=1S/C7H14/c1-5-7(4)6(2)3/h5-7H,1H2,2-4H3
I23C7H13 InChI=1S/C7H13/c1-5-7(4)6(2)3/h2,5H2,1,3-4H3
I3C6D1 InChI=1S/C6H12/c1-4-6(3)5-2/h4,6H,1,5H2,2-3H3
C3H6 InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3
IC6D2 InChI=1S/C6H12/c1-4-5-6(2)3/h5H,4H2,1-3H3
BC5H10 InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3
I3C6D2 InChI=1S/C6H12/c1-4-6(3)5-2/h4H,5H2,1-3H3
XC6D1 InChI=1S/C6H12/c1-5(2)6(3)4/h6H,1H2,2-4H3
C4H8-1 InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3
CC5H10 InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3
C4H8-2 InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3
IC6D3 InChI=1S/C6H12/c1-4-5-6(2)3/h4-6H,1-3H3
C2H4 InChI=1S/C2H4/c1-2/h1-2H2
CH2O InChI=1S/CH2O/c1-2/h1H2
CH3COCH3 InChI=1S/C3H6O/c1-3(2)4/h1-2H3
C2H5COCH3 InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3
IC5Y3 InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3
CH3CHO InChI=1S/C2H4O/c1-2-3/h2H,1H3
C3H6OOH1-2 InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3
BC5H10OOH-C InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h4,6H,1-3H3
C4H8OOH1-2 InChI=1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3
DC5H10OOH-C InChI=1S/C5H11O2/c1-5(2)3-4-7-6/h3,5-6H,4H2,1-2H3
C4H8OOH2-3 InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3
C2H4O2H InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2
I23C7O1-2 InChI=1S/C7H14O/c1-4-6(2)7(3)5-8-7/h6H,4-5H2,1-3H3
I23C7O1-6 InChI=1S/C7H14O/c1-3-6(2)7-4-8-5-7/h6-7H,3-5H2,1-2H3
I23C7O1-3 InChI=1S/C7H14O/c1-4-7(3)6(2)5-8-7/h6H,4-5H2,1-3H3
I23C7O1-7 InChI=1S/C7H14O/c1-3-7-5-8-4-6(7)2/h6-7H,3-5H2,1-2H3
I23C7O1-4 InChI=1S/C7H14O/c1-5-4-8-7(3)6(5)2/h5-7H,4H2,1-3H3
I23C7O1-5 InChI=1S/C7H14O/c1-6-3-4-8-5-7(6)2/h6-7H,3-5H2,1-2H3
I23C7O2-3 InChI=1S/C7H14O/c1-5-7(4)6(2,3)8-7/h5H2,1-4H3
I23C7O2-7 InChI=1S/C7H14O/c1-4-6-5-8-7(6,2)3/h6H,4-5H2,1-3H3
I23C7O2-4 InChI=1S/C7H14O/c1-5-6(2)8-7(5,3)4/h5-6H,1-4H3
I23C7O2-5 InChI=1S/C7H14O/c1-6-4-5-8-7(6,2)3/h6H,4-5H2,1-3H3
I23C7O3-7 InChI=1S/C7H14O/c1-4-7(5-8-7)6(2)3/h6H,4-5H2,1-3H3
I23C7O3-4 InChI=1S/C7H14O/c1-5(2)7(4)6(3)8-7/h5-6H,1-4H3
I23C7O3-5 InChI=1S/C7H14O/c1-6(2)7(3)4-5-8-7/h6H,4-5H2,1-3H3
I23C7O4-7 InChI=1S/C7H14O/c1-5(2)7-4-8-6(7)3/h5-7H,4H2,1-3H3
I23C7O5-7 InChI=1S/C7H14O/c1-6(2)7-3-4-8-5-7/h6-7H,3-5H2,1-2H3
I23C7O4-5 InChI=1S/C7H14O/c1-5(2)6(3)7-4-8-7/h5-7H,4H2,1-3H3
I23C7O26-1OOH InChI=1S/C7H14O3/c1-3-6(2)7(4-9-7)5-10-8/h6,8H,3-5H2,1-2H3
I23C7O23-1OOH InChI=1S/C7H14O3/c1-4-6(2)7(3,10-6)5-9-8/h8H,4-5H2,1-3H3
I23C7O27-1OOH InChI=1S/C7H14O3/c1-3-6-4-9-7(6,2)5-10-8/h6,8H,3-5H2,1-2H3
I23C7O24-1OOH InChI=1S/C7H14O3/c1-5-6(2)10-7(5,3)4-9-8/h5-6,8H,4H2,1-3H3
I23C7O25-1OOH InChI=1S/C7H14O3/c1-6-3-4-9-7(6,2)5-10-8/h6,8H,3-5H2,1-2H3
I23C7O36-1OOH InChI=1S/C7H14O3/c1-3-7(2)6(4-9-7)5-10-8/h6,8H,3-5H2,1-2H3
I23C7O67-1OOH InChI=1S/C7H14O3/c1-2-6-3-9-4-7(6)5-10-8/h6-8H,2-5H2,1H3
I23C7O46-1OOH InChI=1S/C7H14O3/c1-5-6(2)9-3-7(5)4-10-8/h5-8H,3-4H2,1-2H3
I23C7O56-1OOH InChI=1S/C7H14O3/c1-6-2-3-9-4-7(6)5-10-8/h6-8H,2-5H2,1H3
I23C7O37-1OOH InChI=1S/C7H14O3/c1-3-7(5-9-7)6(2)4-10-8/h6,8H,3-5H2,1-2H3
I23C7O34-1OOH InChI=1S/C7H14O3/c1-5(4-9-8)7(3)6(2)10-7/h5-6,8H,4H2,1-3H3
I23C7O35-1OOH InChI=1S/C7H14O3/c1-6(5-10-8)7(2)3-4-9-7/h6,8H,3-5H2,1-2H3
I23C7O47-1OOH InChI=1S/C7H14O3/c1-5(3-10-8)7-4-9-6(7)2/h5-8H,3-4H2,1-2H3
I23C7O57-1OOH InChI=1S/C7H14O3/c1-6(4-10-8)7-2-3-9-5-7/h6-8H,2-5H2,1H3
I23C7O45-1OOH InChI=1S/C7H14O3/c1-5(3-10-8)6(2)7-4-9-7/h5-8H,3-4H2,1-2H3
I23C7O16-2OOH InChI=1S/C7H14O3/c1-3-6(2)7(10-8)4-9-5-7/h6,8H,3-5H2,1-2H3
I23C7O13-2OOH InChI=1S/C7H14O3/c1-4-6(2)7(3,10-8)5-9-6/h8H,4-5H2,1-3H3
I23C7O17-2OOH InChI=1S/C7H14O3/c1-3-6-4-9-5-7(6,2)10-8/h6,8H,3-5H2,1-2H3
I23C7O14-2OOH InChI=1S/C7H14O3/c1-5-6(2)9-4-7(5,3)10-8/h5-6,8H,4H2,1-3H3
I23C7O15-2OOH InChI=1S/C7H14O3/c1-6-3-4-9-5-7(6,2)10-8/h6,8H,3-5H2,1-2H3
I23C7O37-2OOH InChI=1S/C7H14O3/c1-4-7(5-9-7)6(2,3)10-8/h8H,4-5H2,1-3H3
I23C7O34-2OOH InChI=1S/C7H14O3/c1-5-7(4,9-5)6(2,3)10-8/h5,8H,1-4H3
I23C7O35-2OOH InChI=1S/C7H14O3/c1-6(2,10-8)7(3)4-5-9-7/h8H,4-5H2,1-3H3
I23C7O47-2OOH InChI=1S/C7H14O3/c1-5-6(4-9-5)7(2,3)10-8/h5-6,8H,4H2,1-3H3
I23C7O57-2OOH InChI=1S/C7H14O3/c1-7(2,10-8)6-3-4-9-5-6/h6,8H,3-5H2,1-2H3
I23C7O45-2OOH InChI=1S/C7H14O3/c1-5(6-4-9-6)7(2,3)10-8/h5-6,8H,4H2,1-3H3
I23C7O12-3OOH InChI=1S/C7H14O3/c1-4-6(2,10-8)7(3)5-9-7/h8H,4-5H2,1-3H3
I23C7O16-3OOH InChI=1S/C7H14O3/c1-3-7(2,10-8)6-4-9-5-6/h6,8H,3-5H2,1-2H3
I23C7O17-3OOH InChI=1S/C7H14O3/c1-3-7(10-8)5-9-4-6(7)2/h6,8H,3-5H2,1-2H3
I23C7O14-3OOH InChI=1S/C7H14O3/c1-5-4-9-6(2)7(5,3)10-8/h5-6,8H,4H2,1-3H3
I23C7O15-3OOH InChI=1S/C7H14O3/c1-6-5-9-4-3-7(6,2)10-8/h6,8H,3-5H2,1-2H3
I23C7O27-3OOH InChI=1S/C7H14O3/c1-4-7(10-8)5-9-6(7,2)3/h8H,4-5H2,1-3H3
I23C7O24-3OOH InChI=1S/C7H14O3/c1-5-7(4,10-8)6(2,3)9-5/h5,8H,1-4H3
I23C7O25-3OOH InChI=1S/C7H14O3/c1-6(2)7(3,10-8)4-5-9-6/h8H,4-5H2,1-3H3
I23C7O47-3OOH InChI=1S/C7H14O3/c1-5(2)7(10-8)4-9-6(7)3/h5-6,8H,4H2,1-3H3
I23C7O57-3OOH InChI=1S/C7H14O3/c1-6(2)7(10-8)3-4-9-5-7/h6,8H,3-5H2,1-2H3
I23C7O45-3OOH InChI=1S/C7H14O3/c1-5(2)7(3,10-8)6-4-9-6/h5-6,8H,4H2,1-3H3
I23C7O12-7OOH InChI=1S/C7H14O3/c1-3-6(4-10-8)7(2)5-9-7/h6,8H,3-5H2,1-2H3
I23C7O16-7OOH InChI=1S/C7H14O3/c1-2-6(5-10-8)7-3-9-4-7/h6-8H,2-5H2,1H3
I23C7O13-7OOH InChI=1S/C7H14O3/c1-3-7(5-10-8)6(2)4-9-7/h6,8H,3-5H2,1-2H3
I23C7O14-7OOH InChI=1S/C7H14O3/c1-5-3-9-6(2)7(5)4-10-8/h5-8H,3-4H2,1-2H3
I23C7O15-7OOH InChI=1S/C7H14O3/c1-6-4-9-3-2-7(6)5-10-8/h6-8H,2-5H2,1H3
I23C7O23-7OOH InChI=1S/C7H14O3/c1-4-7(5-9-8)6(2,3)10-7/h8H,4-5H2,1-3H3
I23C7O24-7OOH InChI=1S/C7H14O3/c1-5-6(4-9-8)7(2,3)10-5/h5-6,8H,4H2,1-3H3
I23C7O25-7OOH InChI=1S/C7H14O3/c1-7(2)6(5-10-8)3-4-9-7/h6,8H,3-5H2,1-2H3
I23C7O34-7OOH InChI=1S/C7H14O3/c1-5(2)7(4-9-8)6(3)10-7/h5-6,8H,4H2,1-3H3
I23C7O35-7OOH InChI=1S/C7H14O3/c1-6(2)7(5-10-8)3-4-9-7/h6,8H,3-5H2,1-2H3
I23C7O45-7OOH InChI=1S/C7H14O3/c1-5(2)6(3-10-8)7-4-9-7/h5-8H,3-4H2,1-2H3
I23C7O12-4OOH InChI=1S/C7H14O3/c1-5(6(2)10-8)7(3)4-9-7/h5-6,8H,4H2,1-3H3
I23C7O16-4OOH InChI=1S/C7H14O3/c1-5(6(2)10-8)7-3-9-4-7/h5-8H,3-4H2,1-2H3
I23C7O13-4OOH InChI=1S/C7H14O3/c1-5-4-9-7(5,3)6(2)10-8/h5-6,8H,4H2,1-3H3
I23C7O17-4OOH InChI=1S/C7H14O3/c1-5-3-9-4-7(5)6(2)10-8/h5-8H,3-4H2,1-2H3
I23C7O15-4OOH InChI=1S/C7H14O3/c1-5-3-9-4-7(10-8)6(5)2/h5-8H,3-4H2,1-2H3
I23C7O23-4OOH InChI=1S/C7H14O3/c1-5(9-8)7(4)6(2,3)10-7/h5,8H,1-4H3
I23C7O27-4OOH InChI=1S/C7H14O3/c1-5(10-8)6-4-9-7(6,2)3/h5-6,8H,4H2,1-3H3
I23C7O25-4OOH InChI=1S/C7H14O3/c1-5-6(10-8)4-9-7(5,2)3/h5-6,8H,4H2,1-3H3
I23C7O37-4OOH InChI=1S/C7H14O3/c1-5(2)7(4-9-7)6(3)10-8/h5-6,8H,4H2,1-3H3
I23C7O35-4OOH InChI=1S/C7H14O3/c1-5(2)7(3)6(10-8)4-9-7/h5-6,8H,4H2,1-3H3
I23C7O57-4OOH InChI=1S/C7H14O3/c1-5(2)6-3-9-4-7(6)10-8/h5-8H,3-4H2,1-2H3
I23C7O12-5OOH InChI=1S/C7H14O3/c1-6(3-4-10-8)7(2)5-9-7/h6,8H,3-5H2,1-2H3
I23C7O16-5OOH InChI=1S/C7H14O3/c1-6(2-3-10-8)7-4-9-5-7/h6-8H,2-5H2,1H3
I23C7O13-5OOH InChI=1S/C7H14O3/c1-6-5-9-7(6,2)3-4-10-8/h6,8H,3-5H2,1-2H3
I23C7O17-5OOH InChI=1S/C7H14O3/c1-6-4-9-5-7(6)2-3-10-8/h6-8H,2-5H2,1H3
I23C7O14-5OOH InChI=1S/C7H14O3/c1-5-3-9-7(4-10-8)6(5)2/h5-8H,3-4H2,1-2H3
I23C7O23-5OOH InChI=1S/C7H14O3/c1-6(2)7(3,10-6)4-5-9-8/h8H,4-5H2,1-3H3
I23C7O27-5OOH InChI=1S/C7H14O3/c1-7(2)6(5-9-7)3-4-10-8/h6,8H,3-5H2,1-2H3
I23C7O24-5OOH InChI=1S/C7H14O3/c1-5-6(4-9-8)10-7(5,2)3/h5-6,8H,4H2,1-3H3
I23C7O37-5OOH InChI=1S/C7H14O3/c1-6(2)7(5-9-7)3-4-10-8/h6,8H,3-5H2,1-2H3
I23C7O34-5OOH InChI=1S/C7H14O3/c1-5(2)7(3)6(10-7)4-9-8/h5-6,8H,4H2,1-3H3
I23C7O47-5OOH InChI=1S/C7H14O3/c1-5(2)6-3-9-7(6)4-10-8/h5-8H,3-4H2,1-2H3
C7-23-D6OOH1 InChI=1S/C7H14O2/c1-4-6(2)7(3)5-9-8/h6,8H,3-5H2,1-2H3
C7-23-D2OOH1 InChI=1S/C7H14O2/c1-4-6(2)7(3)5-9-8/h8H,4-5H2,1-3H3
I23C7D7-1OOH InChI=1S/C7H14O2/c1-4-6(2)7(3)5-9-8/h7-8H,2,4-5H2,1,3H3
C723-CDAOOH InChI=1S/C7H14O2/c1-4-6(2)7(3)5-9-8/h4,7-8H,5H2,1-3H3
I23C7D4-1OOH InChI=1S/C7H14O2/c1-4-6(2)7(3)5-9-8/h4,6-8H,1,5H2,2-3H3
I23C7D7-2OOH InChI=1S/C7H14O2/c1-5-6(2)7(3,4)9-8/h8H,2,5H2,1,3-4H3
I23C7D3-2OOH InChI=1S/C7H14O2/c1-5-6(2)7(3,4)9-8/h5,8H,1-4H3
I23C7D4-2OOH InChI=1S/C7H14O2/c1-5-6(2)7(3,4)9-8/h5-6,8H,1H2,2-4H3
C7-233-D1OOH3 InChI=1S/C7H14O2/c1-5-7(4,9-8)6(2)3/h8H,2,5H2,1,3-4H3
I23C7D4-3OOH InChI=1S/C7H14O2/c1-5-7(4,9-8)6(2)3/h5-6,8H,1H2,2-4H3
C7-23-D1OOH6 InChI=1S/C7H14O2/c1-4-7(5-9-8)6(2)3/h7-8H,2,4-5H2,1,3H3
I23C7D2-7OOH InChI=1S/C7H14O2/c1-4-7(5-9-8)6(2)3/h8H,4-5H2,1-3H3
I23C7D3-7OOH InChI=1S/C7H14O2/c1-4-7(5-9-8)6(2)3/h4,6,8H,5H2,1-3H3
I23C7D4-7OOH InChI=1S/C7H14O2/c1-4-7(5-9-8)6(2)3/h4,6-8H,1,5H2,2-3H3
C7-234-D1OOH4 InChI=1S/C7H14O2/c1-5(2)6(3)7(4)9-8/h6-8H,1H2,2-4H3
I23C7D2-4OOH InChI=1S/C7H14O2/c1-5(2)6(3)7(4)9-8/h7-8H,1-4H3
I23C7D7-4OOH InChI=1S/C7H14O2/c1-5(2)6(3)7(4)9-8/h5,7-8H,3H2,1-2,4H3
C7-235-D1OOH5 InChI=1S/C7H14O2/c1-6(2)7(3)4-5-9-8/h7-8H,1,4-5H2,2-3H3
C7-23-D2OOH5 InChI=1S/C7H14O2/c1-6(2)7(3)4-5-9-8/h8H,4-5H2,1-3H3
I23C7D7-5OOH InChI=1S/C7H14O2/c1-6(2)7(3)4-5-9-8/h6,8H,3-5H2,1-2H3
I23C7D3-5OOH InChI=1S/C7H14O2/c1-6(2)7(3)4-5-9-8/h4,6,8H,5H2,1-3H3
C3KET21 InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3
I3C6D2-1OOH InChI=1S/C6H12O2/c1-3-6(2)4-5-8-7/h4,7H,3,5H2,1-2H3
AC3H5OOH InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2
IC5KETCA InChI=1S/C5H10O3/c1-4(3-8-7)5(2)6/h4,7H,3H2,1-2H3
IC6D2-1OOH InChI=1S/C6H12O2/c1-3-4-6(2)5-8-7/h4,7H,3,5H2,1-2H3
IC6D3-1OOH InChI=1S/C6H12O2/c1-3-4-6(2)5-8-7/h3-4,6-7H,5H2,1-2H3
C5H9B-AOOH InChI=1S/C5H10O2/c1-3-5(2)4-7-6/h3,6H,4H2,1-2H3
C5H9C-AOOH InChI=1S/C5H10O2/c1-3-5(2)4-7-6/h3,5-6H,1,4H2,2H3
XC6D1-4OOH InChI=1S/C6H12O2/c1-5(2)6(3)4-8-7/h6-7H,1,4H2,2-3H3
IC5KETCB InChI=1S/C5H10O3/c1-4(6)5(2,3)8-7/h7H,1-3H3
IC6D3-2OOH InChI=1S/C6H12O2/c1-4-5-6(2,3)8-7/h4-5,7H,1-3H3
C5H9C-BOOH InChI=1S/C5H10O2/c1-4-5(2,3)7-6/h4,6H,1H2,2-3H3
XC6D1-3OOH InChI=1S/C6H12O2/c1-5(2)6(3,4)8-7/h7H,1H2,2-4H3
I3C6D1-3OOH InChI=1S/C6H12O2/c1-4-6(3,5-2)8-7/h4,7H,1,5H2,2-3H3
I3C6D1-4OOH InChI=1S/C6H12O2/c1-3-6(4-2)5-8-7/h3,6-7H,1,4-5H2,2H3
I3C6D2-4OOH InChI=1S/C6H12O2/c1-3-6(4-2)5-8-7/h3,7H,4-5H2,1-2H3
C4H72-1OOH InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3
NC4KET21 InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h6H,2-3H2,1H3
IC5KETCD InChI=1S/C5H10O3/c1-4(2)5(6)3-8-7/h4,7H,3H2,1-2H3
C5H9B-DOOH InChI=1S/C5H10O2/c1-5(2)3-4-7-6/h3,6H,4H2,1-2H3
XC6D1-1AOOH InChI=1S/C6H12O2/c1-5(2)6(3)4-8-7/h5,7H,3-4H2,1-2H3
I3C6D1-5OOH InChI=1S/C6H12O2/c1-4-5(2)6(3)8-7/h4-7H,1H2,2-3H3
I3C6D2-5OOH InChI=1S/C6H12O2/c1-4-5(2)6(3)8-7/h4,6-7H,1-3H3
C4H71-3OOH InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3
NC4KET23 InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4,6H,1-2H3
IC6D2-4OOH InChI=1S/C6H12O2/c1-5(2)4-6(3)8-7/h4,6-7H,1-3H3
I3C6D1-6OOH InChI=1S/C6H12O2/c1-3-6(2)4-5-8-7/h3,6-7H,1,4-5H2,2H3
I3C6D2-6OOH InChI=1S/C6H12O2/c1-3-6(2)4-5-8-7/h3,7H,4-5H2,1-2H3
C4H71-4OOH InChI=1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2
NC4KET24 InChI=1S/C4H8O3/c1-4(5)2-3-7-6/h6H,2-3H2,1H3
IC6D2-5OOH InChI=1S/C6H12O2/c1-6(2)4-3-5-8-7/h4,7H,3,5H2,1-2H3
IC6D3-5OOH InChI=1S/C6H12O2/c1-6(2)4-3-5-8-7/h3-4,6-7H,5H2,1-2H3
HO2CH2CHO InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2
C5H9C-A,BOOH InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h3,6-7H,4H2,1-2H3
C3H52-1,3OOH InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2
C5H9C-A,DOOH InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h2,5-7H,3-4H2,1H3
C5H9C-B,DOOH InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h3,6-7H,4H2,1-2H3
C4H72-1,3OOH InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h2,4-6H,3H2,1H3
C4H72-1,4OOH InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h1,5-6H,2-4H2
C4H72-3,4OOH InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h2,4-6H,3H2,1H3
CH2CO InChI=1S/C2H2O/c1-2-3/h1H2
IC3H5COCH3 InChI=1S/C5H8O/c1-4(2)5(3)6/h1H2,2-3H3
C2H3COCH3 InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3
NC52ONE-3 InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3
CH3CHCO InChI=1S/C3H4O/c1-2-3-4/h2H,1H3
CC5H9-D InChI=1S/C5H9/c1-4-5(2)3/h2H,4H2,1,3H3
IC4H7 InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3
CH2CHO InChI=1S/C2H3O/c1-2-3/h2H,1H2
CH3CO InChI=1S/C2H3O/c1-2-3/h1H3
C3H5-A InChI=1S/C3H5/c1-3-2/h1,3H,2H3
C2H3 InChI=1S/C2H3/c1-2/h1H,2H2
IC3H6CO InChI=1S/C4H6O/c1-4(2)3-5/h1-2H3
CH3CCHO InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3
HCO InChI=1S/CHO/c1-2/h1H
C4H72-2CHO InChI=1S/C5H8O/c1-3-5(2)4-6/h3-4H,1-2H3
XC6D1-1A InChI=1S/C6H11/c1-4-6(3)5-2/h6H,1,5H2,2-3H3
I3C6D6-2O-CO InChI=1S/C6H10O/c1-4-5(2)6(3)7/h2,4H2,1,3H3
